Store,Item,Date,Weekly_Demand
1,1,2010-02-07,99
1,1,2010-02-14,54
1,1,2010-02-21,100
1,1,2010-02-28,0
1,1,2010-03-07,51
1,1,2010-03-14,0
1,1,2010-03-21,50
1,1,2010-03-28,56
1,1,2010-04-04,52
1,1,2010-04-11,49
1,1,2010-04-18,51
1,1,2010-04-25,0
1,1,2010-05-02,0
1,1,2010-05-09,55
1,1,2010-05-16,55
1,1,2010-05-23,55
1,1,2010-05-30,52
1,1,2010-06-06,0
1,1,2010-06-13,0
1,1,2010-06-20,54
1,1,2010-06-27,0
1,1,2010-07-04,54
1,1,2010-07-11,53
1,1,2010-07-18,52
1,1,2010-07-25,0
1,1,2010-08-01,57
1,1,2010-08-08,52
1,1,2010-08-15,0
1,1,2010-08-22,51
1,1,2010-08-29,51
1,1,2010-09-05,0
1,1,2010-09-12,69
1,1,2010-09-19,46
1,1,2010-09-26,46
1,1,2010-10-03,0
1,1,2010-10-10,0
1,1,2010-10-17,44
1,1,2010-10-24,66
1,1,2010-10-31,0
1,1,2010-11-07,46
1,1,2010-11-14,87
1,1,2010-11-21,43
1,1,2010-11-28,0
1,1,2010-12-05,44
1,1,2010-12-12,45
1,1,2010-12-19,51
1,1,2010-12-26,0
1,1,2011-01-02,25
1,1,2011-01-09,37
1,1,2011-01-16,0
1,1,2011-01-23,25
1,1,2011-01-30,48
1,1,2011-02-06,24
1,1,2011-02-13,24
1,1,2011-02-20,25
1,1,2011-02-27,0
1,1,2011-03-06,23
1,1,2011-03-13,24
1,1,2011-03-20,23
1,1,2011-03-27,24
1,1,2011-04-03,36
1,1,2011-04-10,23
1,1,2011-04-17,25
1,1,2011-04-24,24
1,1,2011-05-01,0
1,1,2011-05-08,25
1,1,2011-05-15,24
1,1,2011-05-22,0
1,1,2011-05-29,0
1,1,2011-06-05,24
1,1,2011-06-12,25
1,1,2011-06-19,25
1,1,2011-06-26,26
1,1,2011-07-03,0
1,1,2011-07-10,0
1,1,2011-07-17,27
1,1,2011-07-24,28
1,1,2011-07-31,58
1,1,2011-08-07,27
1,1,2011-08-14,52
1,1,2011-08-21,51
1,1,2011-08-28,0
1,1,2011-09-04,52
1,1,2011-09-11,0
1,1,2011-09-18,24
1,1,2011-09-25,46
1,1,2011-10-02,23
1,1,2011-10-09,0
1,1,2011-10-16,22
1,1,2011-10-23,0
1,1,2011-10-30,45
1,1,2011-11-06,44
1,1,2011-11-13,0
1,1,2011-11-20,42
1,1,2011-11-27,40
1,1,2011-12-04,27
1,1,2011-12-11,21
1,1,2011-12-18,22
1,1,2011-12-25,24
1,1,2012-01-01,21
1,1,2012-01-08,27
1,1,2012-01-15,19
1,1,2012-01-22,59
1,1,2012-01-29,20
1,1,2012-02-05,31
1,1,2012-02-12,30
1,1,2012-02-19,20
1,1,2012-02-26,20
1,1,2012-03-04,30
1,1,2012-03-11,39
1,1,2012-03-18,26
1,1,2012-03-25,21
1,1,2012-04-01,31
1,1,2012-04-08,21
1,1,2012-04-15,39
1,1,2012-04-22,50
1,1,2012-04-29,21
1,1,2012-05-06,21
1,1,2012-05-13,0
1,1,2012-05-20,32
1,1,2012-05-27,21
1,1,2012-06-03,21
1,1,2012-06-10,29
1,1,2012-06-17,19
1,1,2012-06-24,31
1,1,2012-07-01,22
1,1,2012-07-08,22
1,1,2012-07-15,29
1,1,2012-07-22,41
1,1,2012-07-29,29
1,1,2012-08-05,33
1,1,2012-08-12,21
1,1,2012-08-19,20
1,1,2012-08-26,29
1,1,2012-09-02,38
1,1,2012-09-09,43
1,1,2012-09-16,29
1,1,2012-09-23,0
1,1,2012-09-30,19
1,1,2012-10-07,19
1,1,2012-10-14,18
1,1,2012-10-21,45
1,1,2012-10-28,36
1,2,2010-02-07,27
1,2,2010-02-14,26
1,2,2010-02-21,16
1,2,2010-02-28,8
1,2,2010-03-07,27
1,2,2010-03-14,16
1,2,2010-03-21,24
1,2,2010-03-28,24
1,2,2010-04-04,36
1,2,2010-04-11,19
1,2,2010-04-18,22
1,2,2010-04-25,22
1,2,2010-05-02,17
1,2,2010-05-09,32
1,2,2010-05-16,38
1,2,2010-05-23,21
1,2,2010-05-30,37
1,2,2010-06-06,33
1,2,2010-06-13,46
1,2,2010-06-20,30
1,2,2010-06-27,29
1,2,2010-07-04,14
1,2,2010-07-11,14
1,2,2010-07-18,23
1,2,2010-07-25,23
1,2,2010-08-01,23
1,2,2010-08-08,29
1,2,2010-08-15,17
1,2,2010-08-22,36
1,2,2010-08-29,27
1,2,2010-09-05,29
1,2,2010-09-12,22
1,2,2010-09-19,18
1,2,2010-09-26,10
1,2,2010-10-03,97
1,2,2010-10-10,62
1,2,2010-10-17,42
1,2,2010-10-24,33
1,2,2010-10-31,24
1,2,2010-11-07,24
1,2,2010-11-14,35
1,2,2010-11-21,39
1,2,2010-11-28,28
1,2,2010-12-05,26
1,2,2010-12-12,33
1,2,2010-12-19,55
1,2,2010-12-26,30
1,2,2011-01-02,29
1,2,2011-01-09,35
1,2,2011-01-16,29
1,2,2011-01-23,31
1,2,2011-01-30,25
1,2,2011-02-06,31
1,2,2011-02-13,40
1,2,2011-02-20,23
1,2,2011-02-27,25
1,2,2011-03-06,17
1,2,2011-03-13,27
1,2,2011-03-20,20
1,2,2011-03-27,13
1,2,2011-04-03,28
1,2,2011-04-10,26
1,2,2011-04-17,56
1,2,2011-04-24,28
1,2,2011-05-01,30
1,2,2011-05-08,21
1,2,2011-05-15,21
1,2,2011-05-22,18
1,2,2011-05-29,24
1,2,2011-06-05,18
1,2,2011-06-12,21
1,2,2011-06-19,21
1,2,2011-06-26,21
1,2,2011-07-03,13
1,2,2011-07-10,14
1,2,2011-07-17,16
1,2,2011-07-24,23
1,2,2011-07-31,22
1,2,2011-08-07,20
1,2,2011-08-14,29
1,2,2011-08-21,14
1,2,2011-08-28,18
1,2,2011-09-04,21
1,2,2011-09-11,33
1,2,2011-09-18,19
1,2,2011-09-25,31
1,2,2011-10-02,76
1,2,2011-10-09,92
1,2,2011-10-16,28
1,2,2011-10-23,23
1,2,2011-10-30,21
1,2,2011-11-06,32
1,2,2011-11-13,42
1,2,2011-11-20,43
1,2,2011-11-27,19
1,2,2011-12-04,29
1,2,2011-12-11,53
1,2,2011-12-18,70
1,2,2011-12-25,58
1,2,2012-01-01,33
1,2,2012-01-08,33
1,2,2012-01-15,38
1,2,2012-01-22,26
1,2,2012-01-29,36
1,2,2012-02-05,35
1,2,2012-02-12,32
1,2,2012-02-19,40
1,2,2012-02-26,45
1,2,2012-03-04,48
1,2,2012-03-11,39
1,2,2012-03-18,30
1,2,2012-03-25,41
1,2,2012-04-01,56
1,2,2012-04-08,62
1,2,2012-04-15,41
1,2,2012-04-22,43
1,2,2012-04-29,32
1,2,2012-05-06,27
1,2,2012-05-13,28
1,2,2012-05-20,38
1,2,2012-05-27,30
1,2,2012-06-03,32
1,2,2012-06-10,31
1,2,2012-06-17,22
1,2,2012-06-24,24
1,2,2012-07-01,21
1,2,2012-07-08,20
1,2,2012-07-15,22
1,2,2012-07-22,30
1,2,2012-07-29,30
1,2,2012-08-05,18
1,2,2012-08-12,29
1,2,2012-08-19,23
1,2,2012-08-26,26
1,2,2012-09-02,35
1,2,2012-09-09,38
1,2,2012-09-16,31
1,2,2012-09-23,45
1,2,2012-09-30,100
1,2,2012-10-07,85
1,2,2012-10-14,44
1,2,2012-10-21,46
1,2,2012-10-28,33
1,3,2010-02-07,0
1,3,2010-02-14,90
1,3,2010-02-21,55
1,3,2010-02-28,56
1,3,2010-03-07,56
1,3,2010-03-14,56
1,3,2010-03-21,55
1,3,2010-03-28,0
1,3,2010-04-04,58
1,3,2010-04-11,55
1,3,2010-04-18,56
1,3,2010-04-25,55
1,3,2010-05-02,0
1,3,2010-05-09,61
1,3,2010-05-16,0
1,3,2010-05-23,0
1,3,2010-05-30,57
1,3,2010-06-06,87
1,3,2010-06-13,0
1,3,2010-06-20,0
1,3,2010-06-27,66
1,3,2010-07-04,89
1,3,2010-07-11,0
1,3,2010-07-18,59
1,3,2010-07-25,0
1,3,2010-08-01,0
1,3,2010-08-08,58
1,3,2010-08-15,58
1,3,2010-08-22,57
1,3,2010-08-29,56
1,3,2010-09-05,55
1,3,2010-09-12,0
1,3,2010-09-19,0
1,3,2010-09-26,0
1,3,2010-10-03,0
1,3,2010-10-10,0
1,3,2010-10-17,98
1,3,2010-10-24,49
1,3,2010-10-31,50
1,3,2010-11-07,51
1,3,2010-11-14,48
1,3,2010-11-21,48
1,3,2010-11-28,48
1,3,2010-12-05,48
1,3,2010-12-12,100
1,3,2010-12-19,0
1,3,2010-12-26,58
1,3,2011-01-02,29
1,3,2011-01-09,27
1,3,2011-01-16,27
1,3,2011-01-23,27
1,3,2011-01-30,26
1,3,2011-02-06,0
1,3,2011-02-13,0
1,3,2011-02-20,28
1,3,2011-02-27,39
1,3,2011-03-06,0
1,3,2011-03-13,27
1,3,2011-03-20,0
1,3,2011-03-27,27
1,3,2011-04-03,40
1,3,2011-04-10,52
1,3,2011-04-17,27
1,3,2011-04-24,40
1,3,2011-05-01,27
1,3,2011-05-08,46
1,3,2011-05-15,27
1,3,2011-05-22,27
1,3,2011-05-29,0
1,3,2011-06-05,27
1,3,2011-06-12,27
1,3,2011-06-19,27
1,3,2011-06-26,73
1,3,2011-07-03,44
1,3,2011-07-10,59
1,3,2011-07-17,30
1,3,2011-07-24,31
1,3,2011-07-31,53
1,3,2011-08-07,0
1,3,2011-08-14,58
1,3,2011-08-21,28
1,3,2011-08-28,27
1,3,2011-09-04,28
1,3,2011-09-11,44
1,3,2011-09-18,26
1,3,2011-09-25,0
1,3,2011-10-02,0
1,3,2011-10-09,34
1,3,2011-10-16,37
1,3,2011-10-23,0
1,3,2011-10-30,50
1,3,2011-11-06,25
1,3,2011-11-13,23
1,3,2011-11-20,31
1,3,2011-11-27,0
1,3,2011-12-04,23
1,3,2011-12-11,23
1,3,2011-12-18,25
1,3,2011-12-25,27
1,3,2012-01-01,24
1,3,2012-01-08,0
1,3,2012-01-15,21
1,3,2012-01-22,0
1,3,2012-01-29,22
1,3,2012-02-05,23
1,3,2012-02-12,45
1,3,2012-02-19,23
1,3,2012-02-26,22
1,3,2012-03-04,22
1,3,2012-03-11,21
1,3,2012-03-18,0
1,3,2012-03-25,23
1,3,2012-04-01,23
1,3,2012-04-08,34
1,3,2012-04-15,21
1,3,2012-04-22,22
1,3,2012-04-29,23
1,3,2012-05-06,45
1,3,2012-05-13,23
1,3,2012-05-20,71
1,3,2012-05-27,24
1,3,2012-06-03,61
1,3,2012-06-10,29
1,3,2012-06-17,57
1,3,2012-06-24,46
1,3,2012-07-01,73
1,3,2012-07-08,41
1,3,2012-07-15,51
1,3,2012-07-22,23
1,3,2012-07-29,32
1,3,2012-08-05,57
1,3,2012-08-12,59
1,3,2012-08-19,45
1,3,2012-08-26,43
1,3,2012-09-02,42
1,3,2012-09-09,21
1,3,2012-09-16,36
1,3,2012-09-23,32
1,3,2012-09-30,43
1,3,2012-10-07,21
1,3,2012-10-14,34
1,3,2012-10-21,40
1,3,2012-10-28,40
